iter	RMSE
0	4.160534999
1	4.15189356
2	4.143927259
3	4.138038345
4	4.133015052
5	4.127457045
6	4.122954182
7	4.118282194
8	4.11560414
9	4.11241561
10	4.109348029
11	4.105628007
12	4.103034574
13	4.100713522
14	4.098699499
15	4.09651713
16	4.094784358
17	4.093026663
18	4.091328484
19	4.090182728
20	4.088897766
21	4.087781947
22	4.086754046
23	4.085483095
24	4.084549745
25	4.083640656
26	4.082651521
27	4.081675418
28	4.079722741
29	4.078946767
30	4.077844717
31	4.077193699
32	4.076406016
33	4.075967202
34	4.075071785
35	4.074131236
36	4.073478707
37	4.072280909
38	4.071598032
39	4.070812249
40	4.070115356
41	4.069395851
42	4.068823368
43	4.068296494
44	4.067880456
45	4.0671307
46	4.066162127
47	4.06578102
48	4.065224112
49	4.064691946
50	4.064373669
51	4.063849666
52	4.063294332
53	4.062793639
54	4.062128252
55	4.061720781
56	4.061191375
57	4.060756898
58	4.060309032
59	4.059843402
60	4.059503578
61	4.059175
62	4.058725349
63	4.058071724
64	4.056639594
65	4.056171701
66	4.055780443
67	4.055192449
68	4.053737874
69	4.053400072
70	4.05303551
71	4.052492063
72	4.051949234
73	4.051698425
74	4.051336476
75	4.050878807
76	4.050588961
77	4.050217458
78	4.049770503
79	4.049080369
80	4.048785319
81	4.048485634
82	4.048132627
83	4.047642982
84	4.047381982
85	4.04704342
86	4.04663743
87	4.046468698
88	4.046052494
89	4.045801781
90	4.045560518
91	4.0453421
92	4.04496642
93	4.043680949
94	4.043407913
95	4.042935715
96	4.042696361
97	4.042405236
98	4.041908426
99	4.041492676
100	4.041217412
101	4.041102077
102	4.040854755
103	4.040577367
104	4.039621157
105	4.0394519
106	4.03911406
107	4.038845341
108	4.038528497
109	4.038058504
110	4.037036221
111	4.036794666
112	4.036623208
113	4.036253197
114	4.035438774
115	4.035060553
116	4.034700584
117	4.034369292
118	4.034061358
119	4.03308299
120	4.032856022
121	4.032582947
122	4.032179208
123	4.031620902
124	4.031286113
125	4.0308454
126	4.030396528
127	4.030129545
128	4.029577908
129	4.029293717
130	4.028478583
131	4.02772242
132	4.027387539
133	4.02702039
134	4.026458352
135	4.025990431
136	4.025726404
137	4.025344021
138	4.025027042
139	4.024639487
140	4.024299939
141	4.023839195
142	4.023136023
143	4.022762681
144	4.022268554
145	4.02206234
146	4.021700511
147	4.021342133
148	4.021019032
149	4.020736559
150	4.020431065
151	4.020219646
152	4.01991876
153	4.019522114
154	4.019143092
155	4.018811447
156	4.018332407
157	4.017931188
158	4.01737904
159	4.017034925
160	4.016756357
161	4.016558
162	4.015990544
163	4.015533033
164	4.015283439
165	4.014883544
166	4.014548522
167	4.014311198
168	4.013848144
169	4.013662674
170	4.013324991
171	4.013088991
172	4.012780355
173	4.012453538
174	4.012204451
175	4.01186548
176	4.011486666
177	4.011182098
178	4.010890082
179	4.01071612
180	4.010503024
181	4.0103174
182	4.009948222
183	4.009699677
184	4.009518209
185	4.009280355
186	4.008981677
187	4.008754043
188	4.00841548
189	4.008052885
190	4.007863884
191	4.007709135
192	4.007352303
193	4.007137863
194	4.00677422
195	4.006531307
196	4.006244081
197	4.005882689
198	4.005785457
199	4.005572099
200	4.005380649
201	4.004904668
202	4.004711787
203	4.004470615
204	4.004251355
205	4.004007355
206	4.003556407
207	4.003224404
208	4.002923875
209	4.002583185
210	4.002125075
211	4.001857839
212	4.001633068
213	4.001373035
214	4.001171814
215	4.000868796
216	4.000621088
217	4.0003757
218	4.000325966
219	4.000014011
