iter	Passed	Remaining
0	9	3420
1	17	3203
2	25	3037
3	33	3042
4	41	2945
5	49	2919
6	57	2933
7	64	2863
8	72	2855
9	80	2855
10	89	2865
11	97	2863
12	105	2836
13	112	2809
14	120	2795
15	128	2777
16	135	2761
17	143	2748
18	151	2738
19	158	2710
20	165	2698
21	173	2684
22	180	2667
23	187	2645
24	194	2629
25	201	2612
26	208	2596
27	215	2582
28	223	2568
29	230	2559
30	239	2567
31	248	2568
32	256	2560
33	262	2544
34	270	2531
35	276	2514
36	283	2501
37	291	2495
38	298	2480
39	305	2466
40	312	2452
41	320	2446
42	327	2435
43	334	2426
44	342	2422
45	351	2421
46	359	2417
47	367	2412
48	376	2411
49	385	2411
50	393	2406
51	400	2398
52	408	2390
53	416	2384
54	425	2381
55	432	2373
56	441	2370
57	450	2368
58	459	2369
59	468	2364
60	475	2356
61	483	2347
62	491	2341
63	499	2333
64	508	2329
65	516	2325
66	524	2317
67	533	2312
68	540	2304
69	548	2294
70	554	2282
71	562	2273
72	570	2264
73	577	2255
74	584	2245
75	592	2236
76	599	2227
77	607	2221
78	615	2213
79	623	2207
80	631	2197
81	638	2187
82	645	2177
83	653	2170
84	661	2163
85	670	2158
86	677	2150
87	685	2143
88	694	2137
89	701	2128
90	710	2122
91	717	2114
92	725	2105
93	732	2096
94	740	2090
95	749	2083
96	757	2078
97	765	2070
98	772	2061
99	780	2053
100	789	2046
101	797	2039
102	805	2032
103	812	2024
104	820	2015
105	829	2012
106	837	2003
107	844	1994
108	858	2000
109	865	1990
110	872	1981
111	879	1972
112	888	1965
113	895	1956
114	904	1950
115	912	1942
116	919	1933
117	927	1924
118	935	1917
119	944	1913
120	952	1904
121	960	1897
122	968	1890
123	977	1883
124	986	1877
125	995	1871
126	1002	1863
127	1010	1855
128	1017	1846
129	1026	1839
130	1033	1830
131	1041	1822
132	1049	1814
133	1056	1805
134	1064	1797
135	1072	1790
136	1079	1781
137	1087	1773
138	1095	1765
139	1102	1756
140	1109	1747
141	1116	1738
142	1124	1729
143	1132	1722
144	1140	1714
145	1148	1706
146	1155	1697
147	1163	1690
148	1171	1682
149	1178	1673
150	1185	1664
151	1193	1656
152	1201	1648
153	1209	1640
154	1216	1632
155	1223	1623
156	1230	1614
157	1237	1605
158	1244	1596
159	1252	1589
160	1260	1581
161	1267	1572
162	1275	1565
163	1284	1558
164	1292	1550
165	1300	1543
166	1308	1535
167	1317	1528
168	1326	1522
169	1334	1515
170	1342	1506
171	1349	1498
172	1357	1490
173	1364	1482
174	1372	1474
175	1379	1466
176	1387	1458
177	1395	1450
178	1403	1442
179	1410	1434
180	1417	1425
181	1425	1417
182	1433	1409
183	1440	1401
184	1450	1395
185	1458	1388
186	1467	1381
187	1475	1373
188	1485	1367
189	1494	1361
190	1503	1353
191	1510	1345
192	1518	1337
193	1527	1330
194	1536	1323
195	1544	1316
196	1553	1308
197	1562	1301
198	1570	1293
199	1578	1286
200	1586	1278
201	1594	1271
202	1603	1263
203	1611	1255
204	1619	1248
205	1631	1243
206	1639	1235
207	1647	1227
208	1656	1220
209	1665	1213
210	1674	1206
211	1683	1198
212	1692	1191
213	1700	1183
214	1710	1177
215	1718	1169
216	1726	1161
217	1733	1153
218	1741	1145
219	1749	1137
220	1757	1129
221	1764	1120
222	1773	1113
223	1780	1105
224	1788	1096
225	1796	1088
226	1805	1081
227	1813	1073
228	1821	1065
229	1829	1058
230	1837	1050
231	1845	1041
232	1853	1034
233	1860	1025
234	1867	1017
235	1875	1009
236	1882	1000
237	1890	992
238	1897	984
239	1904	975
240	1910	967
241	1918	959
242	1925	950
243	1932	942
244	1939	934
245	1947	926
246	1954	918
247	1963	910
248	1971	902
249	1978	894
250	1986	886
251	1994	878
252	2000	869
253	2009	862
254	2016	854
255	2024	846
256	2031	838
257	2039	830
258	2046	821
259	2053	813
260	2061	805
261	2069	797
262	2076	789
263	2083	781
264	2091	773
265	2098	765
266	2105	757
267	2112	748
268	2119	740
269	2127	732
270	2134	724
271	2141	716
272	2148	708
273	2155	700
274	2163	692
275	2170	684
276	2178	676
277	2185	668
278	2193	660
279	2200	652
280	2207	644
281	2214	636
282	2222	628
283	2230	620
284	2237	612
285	2244	604
286	2252	596
287	2259	588
288	2266	580
289	2274	572
290	2283	564
291	2290	557
292	2298	549
293	2305	541
294	2311	532
295	2318	524
296	2326	516
297	2334	509
298	2342	501
299	2351	493
300	2359	485
301	2367	478
302	2374	470
303	2381	462
304	2388	454
305	2396	446
306	2404	438
307	2412	430
308	2419	422
309	2427	415
310	2435	407
311	2442	399
312	2449	391
313	2457	383
314	2465	375
315	2472	367
316	2481	360
317	2491	352
318	2501	345
319	2510	337
320	2518	329
321	2525	321
322	2534	313
323	2541	305
324	2549	298
325	2557	290
326	2565	282
327	2572	274
328	2580	266
329	2588	258
330	2596	251
331	2604	243
332	2613	235
333	2621	227
334	2628	219
335	2637	211
336	2645	204
337	2655	196
338	2663	188
339	2670	180
340	2678	172
341	2688	165
342	2695	157
343	2704	149
344	2711	141
345	2722	133
346	2729	125
347	2736	117
348	2743	110
349	2749	102
350	2756	94
351	2762	86
352	2769	78
353	2776	70
354	2785	62
355	2793	54
356	2801	47
357	2811	39
358	2819	31
359	2826	23
360	2834	15
361	2843	7
362	2852	0
